student_id,name,gender,grade,attendance_pct,study_hours_per_week,math_marks,science_marks,english_marks,social_studies_marks,total_marks,average_marks,result
STU1000,Reyansh Gupta,Male,10,97.0,,67.0,65.1,71.8,73.7,277.6,69.4,Pass
STU1001,Pooja Pillai,Female,9,74.3,7.0,58.5,52.8,55.0,66.2,232.5,58.1,Pass
STU1002,Ananya Kulkarni,Male,10,80.3,9.8,40.7,48.5,43.1,30.8,163.1,40.8,Pass
STU1003,Pooja Iyer,Female,10,78.4,8.6,59.1,56.8,53.4,58.7,228.0,57.0,Pass
STU1004,Reyansh Mehta,Male,11,100.0,9.6,80.4,73.8,73.9,75.0,303.1,75.8,Pass
STU1005,Pari Reddy,Male,12,86.2,14.7,53.3,52.5,71.7,51.2,228.7,57.2,Pass
STU1006,Ananya Singh,Male,11,94.2,12.9,71.9,75.5,65.1,61.7,274.2,68.6,Pass
STU1007,Dhruv Iyer,Male,11,84.3,7.4,59.1,65.2,57.4,67.2,248.9,62.2,Pass
STU1008,Vihaan Kulkarni,Male,11,78.7,7.7,67.6,50.9,51.9,62.8,233.2,58.3,Pass
STU1009,Dhruv Patel,Male,11,83.9,12.2,76.8,72.5,68.5,77.9,295.7,73.9,Pass
STU1010,Kabir Iyer,Female,11,75.1,11.7,48.6,47.4,42.4,50.5,188.9,47.2,Pass
STU1011,Vivaan Kulkarni,Male,10,62.6,6.7,36.4,40.3,23.3,33.0,133.0,33.2,Fail
STU1012,Diya Chavan,Male,11,89.8,9.6,64.7,62.4,56.2,47.2,230.5,57.6,Pass
STU1013,Sai Verma,Female,11,62.0,16.5,56.0,53.4,40.6,63.2,213.2,53.3,Pass
STU1014,Sneha Iyer,Female,12,76.8,7.5,51.8,49.1,41.7,51.9,194.5,48.6,Pass
STU1015,Aarav Rao,Male,9,74.7,17.4,80.3,75.9,62.2,78.2,296.6,74.2,Pass
STU1016,Neha Nair,Male,10,87.7,14.8,51.6,63.4,50.2,63.0,228.2,57.0,Pass
STU1017,Pooja Rao,Female,10,98.8,17.8,76.8,82.2,84.5,90.3,333.8,83.4,Pass
STU1018,Yash Sharma,Male,10,94.5,8.2,48.9,50.1,61.8,47.5,208.3,52.1,Pass
STU1019,Priya Singh,Female,11,88.1,9.7,59.8,56.7,70.5,60.7,247.7,61.9,Pass
STU1020,Rohan Rao,Female,11,,7.8,50.9,61.2,69.5,54.2,235.8,59.0,Pass
STU1021,Sneha Pillai,Male,11,77.8,14.4,51.0,65.2,58.3,68.8,243.3,60.8,Pass
STU1022,Meera Chavan,Male,12,76.0,7.5,61.1,56.2,65.6,50.7,233.6,58.4,Pass
STU1023,Myra Chavan,Female,9,74.4,12.6,50.7,51.6,47.5,55.9,205.7,51.4,Pass
STU1024,Pari Rao,Male,11,75.2,12.5,57.5,69.8,67.1,65.7,260.1,65.0,Pass
STU1025,Shaurya Gupta,Female,9,74.9,9.6,47.6,36.4,56.8,43.7,184.5,46.1,Pass
STU1026,Yash Patel,Female,12,74.3,,58.0,66.0,58.3,55.7,238.0,59.5,Pass
STU1027,Arjun Patel,Female,10,91.4,11.0,73.3,73.4,89.0,90.5,326.2,81.6,Pass
STU1028,Reyansh Iyer,Female,11,67.3,12.7,59.2,72.0,59.7,69.3,260.2,65.0,Pass
STU1029,Ishaan Reddy,Female,9,71.2,7.6,45.6,47.6,40.4,33.5,167.1,41.8,Pass
STU1030,Riya Gupta,Female,9,61.0,6.2,49.8,45.1,47.2,54.5,196.6,49.2,Pass
STU1031,Yash Rao,Female,11,97.0,13.8,86.2,96.2,82.1,89.2,353.7,88.4,Pass
STU1032,Aadhya Verma,Female,10,70.4,11.2,60.9,56.9,53.8,63.4,235.0,58.8,Pass
STU1033,Neha Joshi,Female,10,87.9,11.4,61.3,59.1,80.2,51.9,252.5,63.1,Pass
STU1034,Neha Iyer,Female,10,,8.9,55.8,60.7,54.1,44.9,215.5,53.9,Pass
STU1035,Vivaan Gupta,Male,12,95.8,17.0,76.6,86.3,78.2,66.7,307.8,77.0,Pass
STU1036,Sneha Pillai,Female,9,77.5,5.4,68.8,66.4,59.9,62.4,257.5,64.4,Pass
STU1037,Sneha Reddy,Female,9,68.6,4.7,67.6,58.3,57.8,46.8,230.5,57.6,Pass
STU1038,Diya Desai,Female,9,61.3,12.8,39.4,38.8,38.4,23.1,139.7,34.9,Fail
STU1039,Krishna Pillai,Female,12,46.6,11.8,32.1,42.4,18.2,41.1,133.8,33.4,Fail
STU1040,Aditya Chavan,Female,9,81.9,11.5,66.8,64.3,79.6,75.4,286.1,71.5,Pass
STU1041,Kavya Gupta,Male,12,89.3,9.3,52.0,48.2,59.6,46.1,205.9,51.5,Pass
STU1042,Riya Kulkarni,Male,10,85.7,12.3,68.9,77.8,84.8,72.0,303.5,75.9,Pass
STU1043,Vihaan Verma,Male,11,61.6,16.0,39.6,51.8,55.6,33.7,180.7,45.2,Pass
STU1044,Meera Nair,Male,9,92.5,20.7,57.3,70.2,78.9,81.0,287.4,71.8,Pass
STU1045,Kabir Mehta,Male,9,71.6,3.0,40.1,48.6,38.0,39.4,166.1,41.5,Pass
STU1046,Vihaan Nair,Female,10,69.1,7.8,38.3,45.4,44.0,40.0,167.7,41.9,Pass
STU1047,Pooja Pillai,Male,11,71.4,7.6,57.7,54.9,57.8,35.8,206.2,51.6,Pass
STU1048,Riya Mehta,Female,12,80.9,16.6,76.7,78.6,75.9,87.4,318.6,79.6,Pass
STU1049,Diya Verma,Male,11,62.2,1.0,43.3,38.6,49.4,36.5,167.8,42.0,Pass
STU1050,Rohan Chavan,Female,10,79.6,12.0,55.8,55.6,64.6,46.4,222.4,55.6,Pass
STU1051,Vihaan Chavan,Male,10,85.2,9.2,40.5,53.0,47.0,43.8,184.3,46.1,Pass
STU1052,Anika Pillai,Male,11,93.3,17.2,61.4,62.2,65.2,56.9,245.7,61.4,Pass
STU1053,Krishna Chavan,Male,12,82.1,,60.3,50.6,47.2,64.0,222.1,55.5,Pass
STU1054,Shaurya Rao,Female,12,63.9,10.7,43.2,50.5,58.9,45.6,198.2,49.6,Pass
STU1055,Yash Chavan,Male,9,81.8,3.8,45.1,57.1,43.6,61.7,207.5,51.9,Pass
